Algorithm,n,Comparisons,Allocations,MaxDepth
MergeSort,100,577,7,4
QuickSort,100,732,0,3
Select,100,289,0,0
ClosestPair,100,133,0,1
MergeSort,500,4289,31,6
QuickSort,500,4518,0,5
Select,500,2574,0,0
ClosestPair,500,885,0,1
MergeSort,1000,9647,63,7
QuickSort,1000,11756,0,6
Select,1000,6047,0,0
ClosestPair,1000,1762,0,1
MergeSort,5000,55860,511,10
QuickSort,5000,73678,0,8
Select,5000,31628,0,0
ClosestPair,5000,6731,0,1
MergeSort,10000,122062,1023,11
QuickSort,10000,172534,0,8
Select,10000,61326,0,0
ClosestPair,10000,13545,0,1
